year,mean_temp_C,mean_tasmax_C,mean_tasmin_C,total_precip_mm
2021.0,9.36408063459254,14.335473818153389,4.392686594261647,14.197586998761302
2022.0,9.93680660048824,14.965552569191175,4.908060267617998,13.052383116641005
2023.0,10.170297668598721,15.027142323401165,5.313452883233424,14.21542731289245
2024.0,9.076889573274457,14.093389322408484,4.060390002169129,11.901819171586121
2025.0,10.35670923738536,15.394213202034052,5.319205281777727,13.30689129347882
2026.0,10.021788380872806,14.921839959091017,5.121737679500541,11.91181776515293
2027.0,10.905498562830246,15.99649546581037,5.814502994996758,12.658634021917475
2028.0,10.275225899241889,15.298132709073798,5.2523202693965345,11.879404818975035
2029.0,10.613317034479962,15.568266904309041,5.658366709142513,11.064988475354543
2030.0,10.053079646500066,15.181382726967684,4.924778776297103,12.012837219743622
2031.0,10.676083270969002,15.6869164733954,5.665249752904458,12.799996714360272
2032.0,11.614761327051326,16.62070494870744,6.608817077176752,13.90027277304583
2033.0,11.133353438408278,16.209497241427187,6.057210721243109,11.141213246158433
2034.0,10.284813793795024,15.332311057305617,5.237317385857693,12.218705116281592
2035.0,11.564906847174427,16.63400727703106,6.495805506567933,13.717820337184243
2036.0,10.107371526839472,14.954531471281484,5.260212727815201,16.492901756087676
2037.0,10.7307108292448,15.652519375856002,5.808903225027507,12.50460309927809
2038.0,10.805785536610017,15.668083211998066,5.94348768372555,13.616263747649787
2039.0,10.147330453291374,14.970360881391969,5.324300057099947,14.211735365221367
2040.0,11.303999788090096,16.4241103659366,6.18388928270457,14.198312366338032
